2025-07-11T19:17:16.985275+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:17:17.260451+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000022B6C7E8D90> - 113 | src.articles.service
2025-07-11T19:17:23.630940+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:17:45.663985+0300| ERROR | Ошибка типа: TypeError - 226 | src.articles.service
2025-07-11T19:17:45.668548+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:17:45.683996+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000022B6ECD1110> - 113 | src.articles.service
2025-07-11T19:17:45.686320+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:17:45.686509+0300| ERROR | Ошибка типа: TypeError - 226 | src.articles.service
2025-07-11T19:20:34.568188+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:20:34.693424+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x000001C5D0775F10> - 113 | src.articles.service
2025-07-11T19:20:35.503656+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:20:40.294676+0300| ERROR | Ошибка типа: TypeError - 226 | src.articles.service
2025-07-11T19:24:43.026063+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:24:43.135946+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x000001BD86A66090> - 113 | src.articles.service
2025-07-11T19:24:47.562704+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:25:21.811435+0300| ERROR | Ошибка типа: DataError - 226 | src.articles.service
2025-07-11T19:26:36.852747+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:26:36.986443+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x000002621A9A9990> - 113 | src.articles.service
2025-07-11T19:26:40.181428+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:26:55.135206+0300| ERROR | Ошибка типа: DataError
Invalid input of type: 'datetime'. Convert to a bytes, string, int or float first. - 226 | src.articles.service
2025-07-11T19:30:12.156958+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:30:12.166751+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000026218D38990> - 113 | src.articles.service
2025-07-11T19:30:16.536123+0300| DEBUG | Вставка данных в Redis - 184 | src.articles.service
2025-07-11T19:32:44.428767+0300| ERROR | Ошибка типа: DataError
Invalid input of type: 'datetime'. Convert to a bytes, string, int or float first. - 226 | src.articles.service
2025-07-11T19:41:05.299617+0300| DEBUG | Запрос в бд с параметрами: business, 2025-07-10 - 111 | src.articles.service
2025-07-11T19:41:05.307336+0300| DEBUG | Запрос выполнен успешно. Данные которые получил пользователь - <sqlalchemy.engine.result.ChunkedIteratorResult object at 0x0000026218C73410> - 113 | src.articles.service
